gbif_id,scientific_name,decimal_latitude,decimal_longitude,year,basis_of_record,country_code,coordinate_uncertainty_m
6195475699,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.123907,31.376162,2026,HUMAN_OBSERVATION,ZA,30112.0
6195523069,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-21.642425,23.261376,2026,HUMAN_OBSERVATION,BW,30357.0
6195594677,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.632214,35.986193,2026,HUMAN_OBSERVATION,TZ,31418.0
6195612603,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.827845,32.044829,2026,HUMAN_OBSERVATION,ZA,29680.0
6195634595,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.286473,31.783353,2026,HUMAN_OBSERVATION,ZA,30090.0
6195686296,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.829266,32.146628,2026,HUMAN_OBSERVATION,ZA,29680.0
6195687303,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.855504,32.115833,2026,HUMAN_OBSERVATION,ZA,29680.0
6195712904,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.326569,36.831336,2026,HUMAN_OBSERVATION,KE,31447.0
6195742741,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-33.414691,25.607842,2026,HUMAN_OBSERVATION,ZA,28957.0
6195746782,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.560981,35.19511,2026,HUMAN_OBSERVATION,KE,31446.0
6195753347,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.257396,26.891921,2026,HUMAN_OBSERVATION,ZA,29981.0
6195758836,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-23.800284,31.589786,2026,HUMAN_OBSERVATION,ZA,30133.0
6195763050,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.842829,32.059316,2026,HUMAN_OBSERVATION,ZA,29680.0
6195846192,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.404338,24.236682,2026,HUMAN_OBSERVATION,BW,106600.0
6195957241,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.12399,31.606528,2026,HUMAN_OBSERVATION,ZA,30112.0
6195969612,"Panthera leo leo (Linnaeus, 1758)",2.378784,31.684123,2026,HUMAN_OBSERVATION,UG,71531.0
6196005132,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.705805,27.914651,2026,HUMAN_OBSERVATION,ZA,30047.0
6234202932,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.148675,31.511268,2026,HUMAN_OBSERVATION,ZA,192037.0
6234299344,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.804553,20.904465,2026,HUMAN_OBSERVATION,ZA,29913.0
6234328538,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.967955,31.633807,2026,HUMAN_OBSERVATION,ZA,30025.0
6234368012,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.834296,24.744882,2026,HUMAN_OBSERVATION,BW,30527.0
6234468128,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-28.070249,32.071881,2026,HUMAN_OBSERVATION,ZA,29656.0
6234477392,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-23.86938,29.507843,2026,HUMAN_OBSERVATION,ZA,30133.0
6234506316,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-33.652214,25.905539,2026,HUMAN_OBSERVATION,ZA,28930.0
6234525957,"Panthera leo leo (Linnaeus, 1758)",6.251385,23.626813,2026,HUMAN_OBSERVATION,CF,31356.0
6234669758,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.364708,31.329028,2026,HUMAN_OBSERVATION,ZA,30090.0
6234743698,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.9122,31.78586,2026,HUMAN_OBSERVATION,ZA,30025.0
6234799544,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.128198,26.852107,2026,HUMAN_OBSERVATION,ZA,44802.0
6234844414,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.940114,35.540329,2026,HUMAN_OBSERVATION,TZ,52431.0
6234888973,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-33.866888,25.537312,2026,HUMAN_OBSERVATION,ZA,28902.0
6235079859,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.565842,35.021452,2026,HUMAN_OBSERVATION,KE,31446.0
6235150873,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.429864,24.138271,2026,HUMAN_OBSERVATION,BW,30649.0
6235195762,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.193989,23.10813,2026,HUMAN_OBSERVATION,BW,30598.0
6235199984,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.435928,22.97646,2026,HUMAN_OBSERVATION,BW,30562.0
6235283283,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.463188,35.051675,2026,HUMAN_OBSERVATION,KE,31446.0
6235320122,"Panthera leo (Linnaeus, 1758)",-15.802837,28.899027,2026,HUMAN_OBSERVATION,ZW,30855.0
6235321772,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.799581,32.18905,2026,HUMAN_OBSERVATION,ZA,29704.0
6235329052,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.492574,24.063558,2026,HUMAN_OBSERVATION,BW,30649.0
6235389762,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.359408,35.180026,2026,HUMAN_OBSERVATION,KE,31447.0
6235402447,"Panthera leo (Linnaeus, 1758)",-17.827002,24.957227,2026,HUMAN_OBSERVATION,BW,30699.0
6235448002,"Panthera leo (Linnaeus, 1758)",-19.466381,22.851427,2026,HUMAN_OBSERVATION,BW,30562.0
6235469842,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.033647,31.60519,2026,HUMAN_OBSERVATION,ZA,30112.0
6235547660,"Panthera leo leo (Linnaeus, 1758)",13.178637,-13.281151,2026,HUMAN_OBSERVATION,SN,31045.0
6235597055,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.27858,31.316268,2026,HUMAN_OBSERVATION,ZA,30090.0
6235630339,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.504101,35.037674,2026,HUMAN_OBSERVATION,KE,31446.0
6235811953,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-20.88644,23.756316,2026,HUMAN_OBSERVATION,BW,30434.0
6235814519,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.159607,31.45433,2026,HUMAN_OBSERVATION,ZA,30003.0
6235816184,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.462677,22.85865,2026,HUMAN_OBSERVATION,BW,30562.0
6235915554,"Panthera leo (Linnaeus, 1758)",-1.338152,36.71815,2026,HUMAN_OBSERVATION,KE,31447.0
6235919365,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.966867,31.655049,2026,HUMAN_OBSERVATION,ZA,103232.0
6236065784,"Panthera leo (Linnaeus, 1758)",-1.316616,36.666481,2026,HUMAN_OBSERVATION,KE,31447.0
6236104349,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-20.834337,23.499554,2026,HUMAN_OBSERVATION,BW,30434.0
6236129937,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.571554,31.340852,2026,HUMAN_OBSERVATION,ZA,30069.0
6236153291,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.973714,24.750141,2026,HUMAN_OBSERVATION,BW,30527.0
6236214052,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.55859,31.538928,2026,HUMAN_OBSERVATION,ZA,30069.0
6236223369,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-33.283686,19.894215,2026,HUMAN_OBSERVATION,ZA,28984.0
6236267168,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.183714,31.594942,2026,HUMAN_OBSERVATION,ZA,30003.0
